t,A_metal,B_metal,sigma_metal,C_metal,A_gas,B_gas,sigma_gas,C_gas
0.69,15702208.624502482,-15701518.516292093,2.1760912491438793,-107310.9846656693,10686080.847087791,-10685428.38984728,2.0787394181972476,-80003.19698200241
0.7,16983173.11417972,-16982484.20616964,2.215143495104721,-112018.57840583196,9899034.331492886,-9898382.752217665,2.03486124067827,-77332.77394277109
0.71,17026332.154292542,-17025644.426997095,2.212621107834187,-112559.34810702797,9288125.3269048,-9287474.617361145,1.9984101699347387,-75224.04214970695
0.72,17167656.16703268,-17166969.60661797,2.2133466502017782,-113419.8717656999,10696417.863825653,-10695768.01411906,2.0660472893046142,-81066.13472820767
0.73,12007076.502391476,-12006391.093580242,2.020412095303343,-95157.03267987592,10347252.498659935,-10346603.499590224,2.0448513792987417,-80049.93042748132
0.74,16892278.770558815,-16891594.492826432,2.197107123254898,-113253.59409582379,8882186.600524662,-8881538.44528682,1.964294519292943,-74450.5404012785
0.75,17127048.026320152,-17126364.865994938,2.2012197589145592,-114400.36562999761,10232513.226355089,-10231865.905767376,2.031270719224421,-80222.21845144288
0.76,17151812.67142843,-17151130.61451309,2.198613607736035,-114837.40670389544,10429600.098163443,-10428953.603865145,2.0372051323325047,-81293.4284559394
0.77,13400202.165570552,-13399521.199174488,2.063738812705187,-101798.75243406295,9101568.5190694,-9100922.845122362,1.965304164374595,-76212.57271053635
0.78,11084667.570019372,-11083987.677601865,1.9651331477807554,-92846.72118519958,8881801.712389054,-8881156.849338941,1.9498528225132448,-75552.5600787165
0.79,17024074.478124756,-17023395.643230256,2.1849156374038152,-115413.96645400386,9559122.218896497,-9558478.15667928,1.9826693292070103,-78652.88297701908
0.8,9911816.217659065,-9911138.43121523,-1.9055216173754055,-88283.52186149484,13086857.470275925,-13086214.199258175,2.1413389162250542,-92351.47093241349
0.81,17037006.4199566,-17036329.659828246,2.1794453716699738,-116081.7955888845,13977754.84667947,-13977112.361967076,2.1733781118736544,-95758.9700576422
0.82,16921915.137552515,-16921239.3970179,2.1729128804671674,-115990.78900198631,11101681.099628445,-11101039.395257885,2.0482821391095425,-85603.69436885136
0.83,16968541.363478843,-16967866.626456812,2.1716929996734957,-116441.26640630284,11771309.85983054,-11770668.925706932,2.075320160426181,-88424.04121363537
0.84,16936826.841432877,-16936153.099353947,2.1679871141835916,-116620.8677161632,8938719.944092395,-8938079.774978118,1.9341388911674529,-77276.03567068142
0.85,14798897.143643502,-14798224.38261787,2.093468277981636,-109265.73312228889,9418461.333996555,-9417821.920976331,1.9567294188207054,-79560.18549398726
0.86,17074190.00602914,-17073518.21220654,2.1672765766587605,-117644.56847789664,10372694.15606971,-10372055.489414992,2.001733386522039,-83736.68208880772
0.87,9733143.235457554,-9732472.400608556,-1.8806284483605773,-88998.57879750601,10048068.90116862,-10047430.975449575,1.9830752899149902,-82645.62596660951
0.88,17025934.472794715,-17025264.579154287,-2.1609437264296236,-118000.03616243305,9118082.552005338,-9117445.36237753,1.9327523625508214,-78941.10987868939
0.89,15883924.755158637,-15883255.793901091,-2.1214583252886263,-114211.90263857403,10741596.814492857,-10740960.349440683,2.0110517764602522,-85916.4966974574
0.9,13320936.656835191,-13320268.616534375,-2.027936856762992,-104798.0266406631,11678644.492786212,-11678008.7471895,2.0509441187368345,-89822.95989775762
0.91,15701070.765156811,-15700403.63300589,-2.1110525781538145,-114011.1081767882,10145862.609486498,-10145227.577259526,1.9774341099441226,-83927.06147987707
0.92,10885290.695188252,-10884624.46467634,-1.9241443976203116,-95097.90967168906,12267048.41541567,-12266414.086831696,2.0711724221914585,-92520.16600768779
0.93,15475722.536718,-15475057.19176247,-2.099407815181096,-113622.77095176831,10345204.954486823,-10344571.327764353,1.9822421275295674,-85163.3900700595
0.94,16548478.265554274,-16547813.798055975,-2.132982423239259,-117713.40329954878,8525609.12940804,-8524976.19564821,1.8862818970058863,-77484.13992436363
0.95,13874007.026030814,-13873343.426197426,-2.0390839106596372,-107964.45309695983,10904116.748829883,-10903484.49991827,2.00388578775029,-87842.0146584424
0.96,11054328.500219313,-11053665.760278076,-1.9246361848346314,-96527.39010066247,12369055.021578554,-12368423.450457336,2.0658568147147616,-93770.57755413082
0.97,17110224.411672983,-17109562.5141672,-2.14536001872247,-120313.52918571114,14964298.63623033,-14963667.734490305,2.1644481043779527,-103369.9358193465
0.98,16917113.131451063,-16916452.07342146,-2.137519406099149,-119828.36667118003,11665065.672752596,-11664435.441220587,2.031403426903905,-91451.4517563438
0.99,16983307.41832485,-16982647.188465334,-2.1379303358528854,-120251.57251737949,9609101.593676876,-9608472.02323005,-1.9331306092709648,-83164.29067578833
1.0,17249555.650947124,-17248896.237556104,-2.1446660199056033,-121373.00334889247,8662469.038339326,-8661840.123586899,-1.8816567309632464,-79116.7076190931
1.01,16925975.89170454,-16925317.288504407,-2.1329409306311082,-120406.6259026093,8677727.945101222,-8677099.677667106,-1.8806517121612474,-79340.93683597427
1.02,14955456.17852251,-14954798.37610125,-2.066380970592319,-113336.47442083519,10343774.508255256,-10343146.88110088,-1.9633573783538265,-86796.47429359425
1.03,14786297.552453611,-14785640.542136403,-2.059072857836563,-112849.87346918116,8900568.126506587,-8899941.137359371,-1.8890672490128833,-80657.97253747593
1.04,16790243.82654671,-16789587.597333048,2.1242403835831087,-120420.63328802458,9910405.659898255,-9909779.300004475,-1.9388562270693872,-85269.65527510151
1.05,16848467.496706184,-16847812.040582195,2.1247182087015255,-120784.46871823055,9700840.229658356,-9700214.494885132,-1.92679859774659,-84511.75130950137
1.06,16999593.661214713,-16998938.970305342,2.128145043527648,-121477.08020497365,8624462.321320042,-8623837.205745919,-1.8692649579822853,-79816.49424871829
1.07,17035252.658268362,-17034598.725880917,2.1279580799383124,-121753.70266311681,9385363.197873542,-9384738.695394734,-1.9076738382962615,-83406.81113746353
1.08,17924133.732281916,-17923480.548867717,2.1539678049185786,-125038.8293579665,9284999.847673276,-9284375.954249809,-1.900980080878015,-83095.6488409414
1.09,17168591.55395503,-17167939.11354737,2.1296448411023152,-122513.77194842466,8556331.406152287,-8555708.116163297,-1.8609772193844487,-79891.78053152666
1.1,17095826.78857234,-17095175.082649726,2.126206961746364,-122388.91968359271,11328799.586664572,-11328176.88971925,-1.9949962005354431,-92082.14344092594
1.11,18300884.101080585,-18300233.118360426,2.1616624792753476,-126763.17229019498,8931004.547429226,-8930382.444951117,-1.8782114178164249,-81872.32630210226
1.12,17208068.26483145,-17207418.0017186,2.1274989508267943,-123044.15440236087,8995519.483213676,-8994897.967673747,-1.8802206123284801,-82288.53331311521
1.13,17376061.322561726,-17375411.7708796,2.131624603713086,-123766.43863725323,13545659.41549373,-13545038.47715657,-2.0817371664040025,-101140.55599996484
1.14,16909063.781202823,-16908414.934028313,2.116122028981153,-122207.65792623947,8897741.80871011,-8897121.451217128,-1.872449470443191,-82069.78684519797
1.15,16871443.82028505,-16870795.67025574,2.1139678494360887,-122184.29970467433,9223218.050790193,-9222598.26441537,-1.8881053277826603,-83671.56776631068
1.16,16917259.59719459,-16916612.13528106,2.114487737022878,-122456.4679495168,9460407.418936975,-9459788.198732438,-1.8989095467492698,-84852.77567286608
1.17,14498755.68529144,-14498108.910050642,2.0334695437318135,-113458.94448210049,9181728.325604925,-9181109.667643115,-1.8835379351025694,-83699.17585870362
1.18,17388223.013858046,-17387576.912038084,2.127284401162507,-124360.15153493268,8973046.55914039,-8972428.458920652,-1.8715559827634738,-82844.72242327
1.19,16938121.974724006,-16937476.542229477,2.112532994047633,-122835.36095364836,8912040.192960812,-8911422.644567726,-1.867242566173162,-82661.27298379003
1.2,17043443.295633018,-17042798.52677853,2.115006198221696,-123311.37088784893,9605825.791696863,-9605208.789901415,-1.9015308886060345,-85921.94139980612
1.21,17020188.74628684,-17019544.633602493,2.1135203023317026,-123316.40411140758,9103278.876467593,-9102662.419031324,-1.8750331593273053,-83737.78044461916
1.22,16925215.893782586,-16924572.43167019,2.109822672432566,-123057.99147700408,8855191.483938932,-8854575.565297952,-1.8610735190096772,-82678.86394159267
1.23,16994747.370562036,-16994104.554030553,2.111267261744195,-123395.34016781856,9329552.602716632,-9328937.217681747,-1.884552198750985,-84957.78845010076
1.24,17064455.87947276,-17063813.69927719,2.1127747017425778,-123725.60227100048,10676794.340648456,-10676179.483382165,-1.9483085715560446,-90984.989959893
